country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Senegal,KOLDA,VELINGARA,289381,2,179416.22,81026.68,28938.1,0,0,28938.1
Senegal,KOLDA,KOLDA,249271,2,184460.54,47361.49,17448.97,0,0,17448.97
Senegal,KOLDA,MEDINA YORO ,134688,2,84853.44,40406.4,9428.16,0,0,9428.16
Senegal,LOUGA,LOUGA,387594,3,135657.9,170541.36,65890.98,15503.76,0,81394.74
Senegal,LOUGA,LINGUERE,258325,2,180827.5,56831.5,20666,0,0,20666
Senegal,LOUGA,KEBEMER,292367,2,230969.93,46778.72,14618.35,0,0,14618.35
Senegal,SAINT-LOUIS,DAGANA,266285,1,218353.7,45268.45,2662.85,0,0,2662.85
Senegal,SAINT-LOUIS,PODOR,422798,2,291730.62,88787.58,42279.8,0,0,42279.8
Senegal,SAINT-LOUIS,SAINT-LOUIS,301287,2,238016.73,60257.4,3012.87,0,0,3012.87
Senegal,MATAM,RANEROU,60924,3,30462,15840.24,12184.8,2436.96,0,14621.76
Senegal,MATAM,MATAM,300355,3,90106.5,135159.75,63074.55,12014.2,0,75088.75
Senegal,MATAM,KANEL,233842,3,137966.78,49106.82,35076.3,11692.1,0,46768.4
Senegal,KEDOUGOU,KEDOUGOU,79532,2,45333.24,26245.56,7953.2,0,0,7953.2
Senegal,KEDOUGOU,SARAYA,42582,2,32362.32,8942.22,1277.46,0,0,1277.46
Senegal,KEDOUGOU,SALÉMATA,22914,3,12602.7,4124.52,4582.8,1603.98,0,6186.78
Senegal,DAKAR,RUFISQUE,358669,1,322802.1,35866.9,0,0,0,0
Senegal,KAFFRINE,KAFFRINE,221120,1,185740.8,30956.8,4422.4,0,0,4422.4
Senegal,KAFFRINE,MALEM HODAR,102751,1,83228.31,16440.16,3082.53,0,0,3082.53
Senegal,KAFFRINE,BIRKILANE,118703,1,98523.49,17805.45,2374.06,0,0,2374.06
Senegal,KAFFRINE,KOUNGHEUL,179185,1,148723.55,26877.75,3583.7,0,0,3583.7
Senegal,KAOLACK,KAOLACK,445706,2,352107.74,80227.08,13371.18,0,0,13371.18
Senegal,KAOLACK,NIORO,324952,1,297331.08,25996.16,1624.76,0,0,1624.76
Senegal,KAOLACK,GUINGUINEO,116097,2,91716.63,20897.46,3482.91,0,0,3482.91
Senegal,FATICK,FATICK,391122,2,273785.4,109514.16,7431.318,391.122,0,7822.44
Senegal,FATICK,GOSSAS,122930,1,105105.15,14751.6,2458.6,614.65,0,3073.25
Senegal,FATICK,FOUNDIOUNE ,324882,2,162441,153344.304,8122.05,974.646,0,9096.696
Senegal,DIOURBEL,DIOURBEL,304132,2,182175.068,106446.2,15206.6,304.132,0,15510.732
Senegal,DIOURBEL,BAMBEY,353351,2,123672.85,204236.878,24734.57,706.702,0,25441.272
Senegal,DIOURBEL,MBACKE,864041,2,673951.98,181448.61,8640.41,0,0,8640.41
Senegal,Tamba,Bakel,162408,2,112061.52,42226.08,8120.4,0,0,8120.4
Senegal,Tamba,Goudiry,105756,3,35957.04,46532.64,21151.2,2115.12,0,23266.32
Senegal,Tamba,Koupemtoum,161286,2,125803.08,29031.48,6451.44,0,0,6451.44
Senegal,Tamba,Tambacounda,297333,2,89199.9,160559.82,44599.95,2973.33,0,47573.28
Senegal,Thies,MBOUR,655606,2,517928.74,118009.08,19668.18,0,0,19668.18
Senegal,Thies,THIES,669764,2,522415.92,133952.8,13395.28,0,0,13395.28
Senegal,Thies,TIVAOUANE,514031,2,359821.7,128507.75,25701.55,0,0,25701.55
Senegal,Ziguinchor,BIGNONA,351693,2,211015.8,105507.9,31652.37,3516.93,0,35169.3
Senegal,Ziguinchor,OUSSOUYE,71616,2,46550.4,20052.48,5013.12,0,0,5013.12
Senegal,Ziguinchor, ZIGUINCHOR,364537,2,251530.53,91134.25,21872.22,0,0,21872.22
Senegal,Sedhiou, BOUNKILING,124176,2,62088,48428.64,13659.36,0,0,13659.36
Senegal,Sedhiou, GOUDOMP,170119,2,91864.26,61242.84,15310.71,1701.19,0,17011.9
Senegal,Sedhiou, SEDHIOU,186481,2,91375.69,67133.16,27972.15,0,0,27972.15
