country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Burkina Faso,CENTRE,Kadiogo,2519055,1,2485174.59302031,33880.4069796932,0,0,0,0
Burkina Faso,PLATEAU CENTRAL, Ganzourgou ,402798,1,398770.02,4027.98,0,0,0,0
Burkina Faso,PLATEAU CENTRAL, Oubritenga ,298163,1,296379.671498224,1783.32850177633,0,0,0,0
Burkina Faso,PLATEAU CENTRAL,Kourweogo,170474,1,165993.577486438,4480.42251356164,0,0,0,0
Burkina Faso,CENTRE-NORD, Bam ,353090,1,349559.1,3530.9,0,0,0,0
Burkina Faso,CENTRE-NORD, Namentenga ,421925,2,337540,80165.75,4219.25,0,0,4219.25
Burkina Faso,CENTRE-NORD, Sanmatenga ,764613,1,756966.87,7646.13,0,0,0,0
Burkina Faso,CENTRE-OUEST,Boulkiemde,627629,1,621352.71,6276.29,0,0,0,0
Burkina Faso,CENTRE-OUEST,Sanguie,368021,1,360660.58,7360.42,0,0,0,0
Burkina Faso,CENTRE-OUEST, Sissili ,271329,1,268615.71,2713.29,0,0,0,0
Burkina Faso,CENTRE-OUEST, Ziro ,236211,1,229124.67,7086.33,0,0,0,0
Burkina Faso,CENTRE-SUD,Bazega,288399,1,271315.247142152,14390.9675987263,2692.7852591221,0,0,2692.7852591221
Burkina Faso,CENTRE-SUD, Nahouri ,201915,1,199329.504893427,2585.49510657265,0,0,0,0
Burkina Faso,CENTRE-SUD, Zoundweogo ,310289,1,305083.940462412,5145.09057645361,59.9689611344053,0,0,59.9689611344053
Burkina Faso,SAHEL, Oudalan ,260360,2,208288,39054,13018,0,0,13018
Burkina Faso,SAHEL,Seno,341132,1,330898.04,6822.64,3411.32,0,0,3411.32
Burkina Faso,SAHEL, Soum ,454634,2,318243.8,127297.52,9092.68,0,0,9092.68
Burkina Faso,SAHEL, Yagha ,209783,1,207685.17,2097.83,0,0,0,0
Burkina Faso,MOUHOUN, Kossi ,347424,1,316370.720241627,31053.2797583732,0,0,0,0
Burkina Faso,MOUHOUN, Mouhoun ,377211,1,373438.89,3772.11,0,0,0,0
Burkina Faso,MOUHOUN, Sourou ,271970,2,217576,35356.1,19037.9,0,0,19037.9
Burkina Faso,MOUHOUN,Bale,271214,1,265789.72,5424.28,0,0,0,0
Burkina Faso,MOUHOUN, Banwa ,340499,1,333226.609130429,7272.3908695709,0,0,0,0
Burkina Faso,MOUHOUN, Nayala ,203263,2,162610.4,28456.82,12195.78,0,0,12195.78
Burkina Faso,EST, Gnagna ,527798,2,422238.4,100281.62,5277.98,0,0,5277.98
Burkina Faso,EST, Gourma ,401701,1,399659.416076489,2041.58392351051,0,0,0,0
Burkina Faso,EST, Tapoa ,457451,1,442654.023552984,14796.9764470158,0,0,0,0
Burkina Faso,EST, Komandjoari ,109394,1,108300.06,1093.94,0,0,0,0
Burkina Faso,EST, Kompienga ,111076,1,109965.24,1110.76,0,0,0,0
Burkina Faso,CENTRE-EST, Boulgou ,698807,1,691818.93,6988.07,0,0,0,0
Burkina Faso,CENTRE-EST, Kouritenga ,425237,1,420984.63,4252.37,0,0,0,0
Burkina Faso,CENTRE-EST,Koulpelogo,339316,1,335935.062503709,3380.93749629126,0,0,0,0
Burkina Faso,NORD,Lorum,182295.788129154,1,180472.830247863,1822.95788129154,0,0,0,0
Burkina Faso,NORD,Passore,400844.386344892,1,396835.942481443,4008.44386344892,0,0,0,0
Burkina Faso,NORD,Yatenga,697829.604922102,1,690851.308872881,6978.29604922102,0,0,0,0
Burkina Faso,NORD,Zondoma,213883.747613082,1,209606.072660821,4277.67495226165,0,0,0,0
Burkina Faso,SUD-OUEST, Bougouriba ,131076,1,127071.520816749,4004.4791832515,0,0,0,0
Burkina Faso,SUD-OUEST, Poni ,330355,1,313837.25,6607.1,9910.65,0,0,9910.65
Burkina Faso,SUD-OUEST, Ioba ,238561,1,234482.108966161,4078.89103383894,0,0,0,0
Burkina Faso,SUD-OUEST, Noumbiel ,91353,1,90003.8431812041,1349.15681879593,0,0,0,0
Burkina Faso,HAUTS-BASSINS, Houet ,1267299,1,1254626.01,12672.99,0,0,0,0
Burkina Faso,HAUTS-BASSINS,Kenedougou,380676,1,376869.24,3806.76,0,0,0,0
Burkina Faso,HAUTS-BASSINS, Tuy ,303015,1,296394.124375327,6620.8756246733,0,0,0,0
Burkina Faso,CASCADES,Comoe,575018,1,569267.82,5750.18,0,0,0,0
Burkina Faso,CASCADES, Leraba ,160650,1,155489.282738302,5160.71726169818,0,0,0,0
