country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Guinea,BOKE,BOFFA,243375,1,211736.25,31638.75,0,0,0,0
Guinea,BOKE,BOKE,508861,1,427443.24,76329.15,5088.61,0,0,5088.61
Guinea,BOKE,FRIA,109372,1,96247.36,13124.64,0,0,0,0
Guinea,BOKE,GAOUAL,219021,1,210260.16,8760.84,0,0,0,0
Guinea,BOKE,KOUNDARA,146942,1,142533.74,4408.26,0,0,0,0
Guinea,FARANAH,DABOLA,204934,1,194687.3,10246.7,0,0,0,0
Guinea,FARANAH,DINGUIRAYE,222206,1,199985.4,22220.6,0,0,0,0
Guinea,FARANAH,FARANAH,316962,1,294774.66,22187.34,0,0,0,0
Guinea,FARANAH,KISSIDOUGOU,320484,1,310869.48,9614.52,0,0,0,0
Guinea,KANKAN,KANKAN,533530,1,512188.8,21341.2,0,0,0,0
Guinea,KANKAN,KEROUANE,234814,1,223073.3,11740.7,0,0,0,0
Guinea,KANKAN,KOUROUSSA,303675,1,285454.5,18220.5,0,0,0,0
Guinea,KANKAN,MANDIANA,380093,1,361088.35,19004.65,0,0,0,0
Guinea,KANKAN,SIGUIRI,766593,1,705265.56,61327.44,0,0,0,0
Guinea,KINDIA,COYAH,298073,1,256342.78,41730.22,0,0,0,0
Guinea,KINDIA,DUBREKA,373292,1,328496.96,44795.04,0,0,0,0
Guinea,KINDIA,FORECARIAH,274604,1,233413.4,41190.6,0,0,0,0
Guinea,KINDIA,KINDIA,496630,1,432068.1,64561.9,0,0,0,0
Guinea,KINDIA,TELEMELE,321668,1,315234.64,6433.36,0,0,0,0
Guinea,LABE,KOUBIA,112877,1,107233.15,5643.85,0,0,0,0
Guinea,LABE,LABE,359522,1,334355.46,25166.54,0,0,0,0
Guinea,LABE,LELOUMA,184289,1,173231.66,11057.34,0,0,0,0
Guinea,LABE,MALI,325362,1,302586.66,22775.34,0,0,0,0
Guinea,LABE,TOUGUE,140614,1,129364.88,11249.12,0,0,0,0
Guinea,MAMOU,DALABA,151154,1,143596.3,7557.7,0,0,0,0
Guinea,MAMOU,MAMOU,360700,1,346272,14428,0,0,0,0
Guinea,MAMOU,PITA,314469,1,298745.55,15723.45,0,0,0,0
Guinea,N'ZEREKORE,BEYLA,368941,1,357872.77,11068.23,0,0,0,0
Guinea,N'ZEREKORE,GUECKEDOU,328589,1,315445.44,13143.56,0,0,0,0
Guinea,N'ZEREKORE,LOLA,194109,1,190226.82,3882.18,0,0,0,0
Guinea,N'ZEREKORE,MACENTA,315023,1,305572.31,9450.69,0,0,0,0
Guinea,N'ZEREKORE,N'ZEREKORE,448501,1,426075.95,22425.05,0,0,0,0
Guinea,N'ZEREKORE,YOMOU,129315,1,126728.7,2586.3,0,0,0,0
